LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID75077,75077,37,11.305015563964844,741.5710879177147,744.5239144558948,0.0,32.0,32,5.0,1,,89.77319587628865,80.0,45.0,157.0,8708.0,28.83447919976446,0.3820695593622239,1.7213814000566923,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74372,74372,37,8.7967529296875,738.6816994539607,747.480943651089,0.0,33.0,33,5.0,1,,77.45360824742268,66.0,40.0,136.0,7513.0,27.01235080884171,0.3387847049530441,1.4511834672052368,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74609,74609,37,10.319244384765625,737.9635784682697,752.3098520021209,0.0,34.0,34,5.0,1,,87.25773195876289,81.0,50.0,155.0,8464.0,28.286215116832768,0.3580547148856939,1.626639092999955,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74962,74962,37,9.18212890625,736.594831166241,756.9518724654095,0.0,35.0,35,5.0,1,,82.16494845360825,74.0,44.0,144.0,7970.0,26.00067323341965,0.33966466361306047,1.6024565240893343,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74730,74730,37,9.822044372558594,734.5728596075776,761.6423920251161,0.0,36.0,36,5.0,1,,82.73195876288659,78.0,43.0,150.0,8025.0,27.9994477117844,0.3638045498833058,1.5764123505271843,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74849,74849,37,9.444831848144531,732.5476546058403,765.1221802526397,0.0,37.0,37,5.0,1,,84.89690721649484,80.0,43.0,156.0,8235.0,26.134063234950375,0.33349687498489455,1.624855309097516,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74484,74484,37,8.229972839355469,732.5018577435776,768.4846704843418,0.0,38.0,38,5.0,1,,85.48453608247422,85.0,42.0,138.0,8292.0,26.133516714676738,0.2864614373768935,1.4567636416348082,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID75636,75636,37,8.624015808105469,737.0578329419671,778.4382647920833,0.0,40.0,40,5.0,1,,76.73195876288659,68.0,38.0,134.0,7443.0,25.54673636360651,0.33754298582913483,1.5159755386513736,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID75408,75408,37,8.276710510253906,741.272769345061,781.6975977444597,0.0,41.0,41,5.0,1,,76.57731958762886,70.0,35.0,141.0,7428.0,23.338021129490603,0.3349534876235233,1.646586299801004,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID75300,75300,37,8.695518493652344,744.2725160483117,785.0393383463621,0.0,42.0,42,5.0,1,,78.65979381443299,73.0,41.0,131.0,7630.0,23.851924537104157,0.33313992055950614,1.6482015456616392,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
